CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:56.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 0.00000 0.00000
58084 10.00000 0.00000
58084 20.00000 0.00000
58084 30.00000 0.00000
58084 40.00000 0.00000
58084 50.00000 0.00000
58084 60.00000 0.00000
58084 70.00000 0.00000
58084 80.00000 0.00000
58084 90.00000 0.00000
58084 100.00000 0.00000
58084 110.00000 0.00000
58084 120.00000 0.00000
58084 130.00000 0.00000
58084 140.00000 0.00000
58084 150.00000 0.00000
58084 160.00000 0.00000
58084 170.00000 0.00000
58084 180.00000 0.00000
58084 190.00000 0.00000
58084 200.00000 0.00000
58084 210.00000 0.00000
58084 220.00000 0.00000
58084 230.00000 0.00000
58084 240.00000 0.00000
58084 250.00000 0.00000
58084 260.00000 0.00000
58084 270.00000 0.00000
58084 280.00000 0.00000
58084 290.00000 0.00000
58084 300.00000 0.00000
58084 310.00000 0.00000
58084 320.00000 0.00000
58084 330.00000 0.00000
58084 340.00000 0.00000
58084 350.00000 0.00000
58084 360.00000 0.00000
58084 370.00000 0.00000
58084 380.00000 0.00000
58084 390.00000 0.00000
58084 400.00000 0.00000
58084 410.00000 0.00000
58084 420.00000 0.00000
58084 430.00000 0.00000
58084 440.00000 0.00000
58084 450.00000 0.00000
58084 460.00000 0.00000
58084 470.00000 0.00000
58084 480.00000 0.00000
58084 490.00000 0.00000
58084 500.00000 0.00000
58084 510.00000 0.00000
58084 520.00000 0.00000
58084 530.00000 0.00000
58084 540.00000 0.00000
58084 550.00000 0.00000
58084 560.00000 0.00000
58084 570.00000 0.00000
58084 580.00000 0.00000
58084 590.00000 0.00000
58084 600.00000 0.00000
58084 610.00000 0.00000
58084 620.00000 0.00000
58084 630.00000 0.00000
58084 640.00000 0.00000
58084 650.00000 0.00000
58084 660.00000 0.00000
58084 670.00000 0.00000
58084 680.00000 0.00000
58084 690.00000 0.00000
58084 700.00000 0.00000
58084 710.00000 0.00000
58084 720.00000 0.00000
58084 730.00000 0.00000
58084 740.00000 0.00000
